0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:00 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:00 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:00 +0800] "GET /microblog/sign/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:00 +0800] "GET /microblog/sign/styles/login.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:00 +0800] "GET /microblog/sign/scripts/common/assets/js/jquery.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:00 +0800] "GET /microblog/sign/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:00 +0800] "GET /microblog/sign/scripts/common/layer/layer.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:00 +0800] "GET /microblog/sign/scripts/register.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:01 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /microblog/sign/styles/login.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /microblog/sign/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /scripts/common/assets/js/jquery.min.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /scripts/common/layer/layer.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:04 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /microblog/sign/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /microblog/sign/styles/login.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /scripts/common/layer/layer.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /scripts/common/assets/js/jquery.min.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:11 +0800] "GET /scripts/common/layer/layer.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /microblog/sign/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /microblog/sign/styles/login.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /scripts/common/assets/js/jquery.min.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /scripts/common/layer/layer.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:12 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:13 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /microblog/sign/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /microblog/sign/styles/login.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /scripts/common/assets/js/jquery.min.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /scripts/common/layer/layer.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /scripts/register.js HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:14 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:44:45 +0800] "GET /styles/assets/css/amazeui.min.css HTTP/1.1" 404 1017
